city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount (R$)
Rio de Janeiro,140,3,2,1,22,not acept,not furnished,3000
Sao Paulo,138,2,3,2,22,acept,not furnished,9800
Sao Paulo,120,2,2,2,22,not acept,furnished,3500
Sao Paulo,60,2,2,1,22,not acept,furnished,4000
Sao Paulo,57,2,2,1,22,not acept,furnished,4500
Sao Paulo,45,1,1,0,22,not acept,not furnished,1015
Sao Paulo,40,1,1,0,22,acept,furnished,2300
Sao Paulo,32,1,1,1,22,acept,furnished,2000
Sao Paulo,32,1,1,1,22,acept,furnished,2000
Sao Paulo,31,1,1,0,22,acept,not furnished,1330
Sao Paulo,432,5,7,6,21,acept,not furnished,15000
Rio de Janeiro,690,4,5,2,21,not acept,not furnished,9500
Sao Paulo,550,4,5,6,21,acept,not furnished,10500
Sao Paulo,386,4,6,3,21,acept,not furnished,12750
Sao Paulo,355,4,5,5,21,not acept,furnished,15000
Rio de Janeiro,330,4,4,2,21,acept,not furnished,15000
Sao Paulo,310,4,4,4,21,acept,not furnished,14000
Sao Paulo,295,4,4,4,21,acept,not furnished,9500
Sao Paulo,269,4,4,5,21,acept,furnished,14000
Sao Paulo,263,4,5,4,21,acept,not furnished,12500
Belo Horizonte,260,4,5,0,21,not acept,not furnished,13000
Sao Paulo,180,4,4,4,21,not acept,not furnished,10000
Sao Paulo,154,4,3,3,21,acept,not furnished,7000
Sao Paulo,412,3,5,6,21,acept,not furnished,3952
Sao Paulo,399,3,5,4,21,acept,not furnished,12000
Sao Paulo,280,3,3,4,21,acept,not furnished,4500
Sao Paulo,270,3,2,4,21,acept,not furnished,13000
Sao Paulo,170,3,4,3,21,acept,not furnished,5000
Sao Paulo,142,3,4,3,21,not acept,not furnished,5440
Sao Paulo,135,3,2,1,21,acept,furnished,7500
Sao Paulo,75,3,2,1,21,acept,not furnished,2900
Sao Paulo,380,2,4,0,21,acept,furnished,6800
Sao Paulo,149,2,3,3,21,acept,not furnished,4500
Sao Paulo,110,2,1,1,21,acept,not furnished,3300
Rio de Janeiro,100,2,2,1,21,not acept,not furnished,2000
Sao Paulo,98,2,2,0,21,acept,furnished,9000
Sao Paulo,83,2,2,1,21,acept,not furnished,4800
Porto Alegre,80,2,2,2,21,acept,not furnished,3670
Rio de Janeiro,77,2,2,1,21,acept,not furnished,1950
Sao Paulo,72,2,1,1,21,acept,not furnished,1701
Sao Paulo,69,2,2,1,21,acept,not furnished,4000
Sao Paulo,65,2,2,2,21,acept,not furnished,3200
Sao Paulo,65,2,1,2,21,acept,not furnished,4000
Sao Paulo,60,2,2,1,21,acept,furnished,5550
Sao Paulo,55,2,2,1,21,acept,not furnished,2000
Sao Paulo,73,1,2,2,21,acept,furnished,3500
Sao Paulo,50,1,1,1,21,acept,furnished,2700
Sao Paulo,48,1,1,1,21,not acept,furnished,6698
Porto Alegre,43,1,1,1,21,acept,furnished,2450
Sao Paulo,42,1,1,1,21,not acept,furnished,2500
Sao Paulo,37,1,1,1,21,acept,not furnished,4000
Rio de Janeiro,28,1,1,0,21,acept,not furnished,2285
Sao Paulo,260,5,5,4,20,not acept,not furnished,8000
Sao Paulo,408,4,6,3,20,acept,not furnished,15000
Sao Paulo,360,4,5,5,20,acept,not furnished,10000
Belo Horizonte,340,4,5,4,20,acept,not furnished,12000
Sao Paulo,320,4,4,0,20,acept,not furnished,4960
Sao Paulo,315,4,5,5,20,not acept,not furnished,4000
Sao Paulo,315,4,5,5,20,not acept,not furnished,4000
Belo Horizonte,311,4,3,3,20,not acept,not furnished,9000
Sao Paulo,300,4,6,4,20,acept,not furnished,12000
Sao Paulo,220,4,3,3,20,acept,furnished,5500
Sao Paulo,160,4,3,2,20,acept,furnished,5600
Belo Horizonte,520,3,3,4,20,not acept,not furnished,12000
Sao Paulo,400,3,5,4,20,acept,furnished,10000
Sao Paulo,340,3,4,5,20,acept,not furnished,9800
Belo Horizonte,311,3,4,3,20,not acept,not furnished,13000
Sao Paulo,200,3,4,3,20,not acept,furnished,12000
Sao Paulo,185,3,3,3,20,acept,not furnished,5600
Sao Paulo,176,3,4,3,20,not acept,not furnished,9500
Campinas,163,3,5,3,20,acept,not furnished,9800
Sao Paulo,156,3,3,3,20,acept,not furnished,4900
Sao Paulo,150,3,3,2,20,not acept,not furnished,4000
Sao Paulo,146,3,4,3,20,acept,furnished,10000
Sao Paulo,143,3,3,2,20,acept,not furnished,8400
Sao Paulo,109,3,2,2,20,acept,furnished,4500
Sao Paulo,95,3,2,3,20,not acept,not furnished,2500
Sao Paulo,80,3,3,2,20,acept,not furnished,4450
Sao Paulo,121,2,3,1,20,acept,not furnished,2560
Sao Paulo,120,2,3,2,20,acept,not furnished,7000
Sao Paulo,100,2,3,2,20,not acept,furnished,10000
Sao Paulo,88,2,2,3,20,acept,furnished,3400
Sao Paulo,84,2,2,2,20,not acept,furnished,9600
Rio de Janeiro,80,2,1,1,20,acept,not furnished,900
Sao Paulo,65,2,2,1,20,acept,furnished,4900
Sao Paulo,63,2,2,1,20,acept,not furnished,4500
Sao Paulo,60,2,2,2,20,acept,not furnished,2872
Sao Paulo,60,1,1,1,20,not acept,furnished,3250
Porto Alegre,52,1,1,1,20,acept,not furnished,2500
Sao Paulo,50,1,1,1,20,not acept,furnished,5300
Porto Alegre,47,1,1,0,20,acept,not furnished,755
Rio de Janeiro,40,1,1,1,20,not acept,not furnished,1160
Porto Alegre,40,1,1,0,20,acept,not furnished,890
Sao Paulo,33,1,1,1,20,not acept,furnished,3000
Rio de Janeiro,30,1,1,0,20,not acept,not furnished,1000
Belo Horizonte,21,1,1,0,20,not acept,not furnished,850
Sao Paulo,480,5,7,5,19,acept,not furnished,8500
Sao Paulo,470,4,4,5,19,acept,not furnished,6741
Sao Paulo,420,4,4,4,19,acept,not furnished,11050
Sao Paulo,375,4,4,3,19,acept,furnished,9000
Belo Horizonte,362,4,5,0,19,not acept,not furnished,15000
Sao Paulo,300,4,5,4,19,acept,not furnished,3800
Sao Paulo,300,4,4,4,19,acept,furnished,9000
Sao Paulo,297,4,5,5,19,acept,not furnished,11700
Sao Paulo,282,4,4,3,19,acept,furnished,10000
Sao Paulo,270,4,5,3,19,acept,furnished,9753
Sao Paulo,245,4,5,4,19,acept,furnished,7000
Sao Paulo,220,4,4,1,19,acept,not furnished,5500
Sao Paulo,350,3,6,4,19,acept,not furnished,8500
Sao Paulo,200,3,4,3,19,acept,furnished,8500
Sao Paulo,200,3,2,2,19,acept,not furnished,10000
Sao Paulo,167,3,3,3,19,acept,furnished,2800
Sao Paulo,157,3,3,4,19,acept,not furnished,4900
Sao Paulo,150,3,3,3,19,acept,furnished,2800
Sao Paulo,133,3,3,2,19,acept,furnished,14000
Sao Paulo,96,3,2,2,19,acept,not furnished,2300
Sao Paulo,89,3,2,2,19,acept,not furnished,6000
Sao Paulo,82,3,2,2,19,not acept,not furnished,1994
Sao Paulo,80,3,2,2,19,acept,not furnished,2500
Sao Paulo,277,2,3,4,19,acept,not furnished,13000
Porto Alegre,170,2,2,0,19,acept,furnished,2700
Sao Paulo,147,2,3,4,19,acept,not furnished,1200
Sao Paulo,140,2,4,2,19,not acept,not furnished,6599
Sao Paulo,135,2,3,1,19,not acept,furnished,8000
Sao Paulo,120,2,3,2,19,acept,furnished,9920
Sao Paulo,93,2,1,2,19,not acept,not furnished,6800
Porto Alegre,87,2,2,2,19,acept,not furnished,2900
Belo Horizonte,80,2,2,2,19,not acept,not furnished,4500
Sao Paulo,80,2,1,1,19,acept,not furnished,1300
Sao Paulo,71,2,2,2,19,acept,not furnished,3000
Sao Paulo,65,2,2,2,19,not acept,not furnished,3500
Sao Paulo,63,2,2,1,19,acept,furnished,11000
Sao Paulo,63,2,2,1,19,acept,not furnished,4400
Sao Paulo,55,2,1,1,19,acept,furnished,2100
Porto Alegre,55,2,1,0,19,acept,not furnished,1200
Sao Paulo,175,1,3,2,19,not acept,furnished,4142
Sao Paulo,75,1,2,2,19,acept,not furnished,2500
Sao Paulo,72,1,2,2,19,acept,not furnished,4000
Sao Paulo,60,1,1,1,19,acept,not furnished,3500
Sao Paulo,52,1,2,1,19,acept,not furnished,5000
Sao Paulo,48,1,1,1,19,acept,not furnished,1525
Porto Alegre,47,1,1,1,19,not acept,not furnished,2630
Sao Paulo,44,1,1,1,19,acept,furnished,3600
Sao Paulo,40,1,1,1,19,not acept,furnished,3899
Sao Paulo,38,1,1,0,19,not acept,not furnished,1000
Sao Paulo,33,1,1,1,19,not acept,furnished,3413
Rio de Janeiro,30,1,1,0,19,acept,not furnished,1250
Rio de Janeiro,30,1,1,0,19,acept,not furnished,800
Sao Paulo,22,1,1,1,19,not acept,not furnished,2200
Porto Alegre,132,6,4,2,18,acept,not furnished,3400
Sao Paulo,360,4,5,4,18,acept,not furnished,7800
Sao Paulo,316,4,6,4,18,acept,furnished,8000
Belo Horizonte,308,4,5,6,18,acept,furnished,13500
Belo Horizonte,308,4,5,4,18,acept,furnished,15000
Sao Paulo,280,4,5,4,18,not acept,not furnished,12000
Sao Paulo,252,4,5,5,18,acept,furnished,12500
Sao Paulo,213,4,5,4,18,acept,not furnished,9900
Belo Horizonte,150,4,2,3,18,not acept,furnished,4900
Sao Paulo,328,3,4,4,18,acept,furnished,6000
Sao Paulo,300,3,4,3,18,acept,not furnished,9900
Sao Paulo,254,3,5,4,18,acept,not furnished,10000
Sao Paulo,250,3,5,5,18,acept,furnished,15000
Sao Paulo,250,3,4,4,18,acept,not furnished,3300
Sao Paulo,245,3,3,1,18,acept,furnished,12000
Sao Paulo,244,3,6,4,18,acept,not furnished,15000
Sao Paulo,230,3,6,5,18,acept,furnished,11050
Sao Paulo,227,3,4,4,18,not acept,furnished,12000
Sao Paulo,215,3,1,1,18,acept,not furnished,4000
Sao Paulo,200,3,4,3,18,acept,furnished,6200
Sao Paulo,180,3,1,1,18,acept,not furnished,9000
Sao Paulo,178,3,4,4,18,acept,not furnished,10000
Sao Paulo,160,3,2,2,18,acept,furnished,1900
Sao Paulo,150,3,4,3,18,not acept,furnished,7500
Sao Paulo,140,3,4,3,18,acept,not furnished,4000
Sao Paulo,138,3,4,2,18,acept,furnished,10000
Sao Paulo,134,3,3,2,18,acept,furnished,3500
Sao Paulo,130,3,2,0,18,acept,furnished,4500
Sao Paulo,126,3,2,2,18,not acept,not furnished,1610
Sao Paulo,120,3,2,1,18,acept,not furnished,5300
Sao Paulo,110,3,3,2,18,acept,not furnished,2200
Sao Paulo,93,3,2,2,18,acept,not furnished,3400
Rio de Janeiro,90,3,1,0,18,acept,furnished,2240
Belo Horizonte,83,3,2,3,18,acept,not furnished,2050
Sao Paulo,63,3,2,0,18,acept,not furnished,1800
Sao Paulo,163,2,3,2,18,acept,furnished,8000
Sao Paulo,142,2,3,2,18,acept,not furnished,3550
Sao Paulo,115,2,2,1,18,acept,furnished,6500
Sao Paulo,110,2,2,1,18,acept,not furnished,1710
Campinas,110,2,2,0,18,acept,furnished,4200
Sao Paulo,107,2,2,2,18,acept,furnished,12800
Sao Paulo,94,2,3,2,18,not acept,not furnished,4400
Porto Alegre,90,2,2,1,18,not acept,not furnished,2500
Sao Paulo,80,2,1,1,18,not acept,not furnished,1500
Sao Paulo,79,2,2,2,18,not acept,furnished,5900
Sao Paulo,77,2,2,2,18,acept,not furnished,3000
Sao Paulo,72,2,2,1,18,acept,not furnished,2500
Sao Paulo,68,2,2,1,18,acept,not furnished,3400
Sao Paulo,63,2,2,1,18,acept,not furnished,4300
Sao Paulo,58,2,2,1,18,acept,not furnished,1783
Rio de Janeiro,56,2,1,1,18,acept,not furnished,1000
Sao Paulo,55,2,1,1,18,acept,not furnished,1990
Belo Horizonte,54,2,2,0,18,acept,not furnished,1100
Porto Alegre,50,2,1,0,18,acept,not furnished,1300
Sao Paulo,49,2,1,1,18,acept,furnished,2000
Rio de Janeiro,127,1,2,1,18,not acept,not furnished,6300
Sao Paulo,73,1,2,1,18,acept,not furnished,3300
Campinas,56,1,1,1,18,acept,not furnished,800
Sao Paulo,55,1,2,1,18,acept,furnished,5500
Sao Paulo,54,1,1,1,18,acept,not furnished,7500
Sao Paulo,49,1,1,1,18,not acept,furnished,5400
Campinas,47,1,1,1,18,acept,furnished,2700
Porto Alegre,45,1,1,1,18,not acept,not furnished,2000
Porto Alegre,43,1,1,1,18,acept,furnished,3300
Sao Paulo,40,1,1,0,18,not acept,furnished,2600
Sao Paulo,37,1,1,1,18,not acept,not furnished,3000
Sao Paulo,35,1,1,0,18,acept,not furnished,1850
Sao Paulo,35,1,1,0,18,acept,not furnished,1850
Sao Paulo,33,1,1,1,18,not acept,furnished,3500
Sao Paulo,33,1,1,0,18,acept,furnished,1300
Sao Paulo,32,1,1,1,18,not acept,furnished,3500
Sao Paulo,32,1,1,0,18,acept,not furnished,1200
Sao Paulo,30,1,1,1,18,not acept,not furnished,1950
Sao Paulo,30,1,1,0,18,not acept,not furnished,980
Sao Paulo,29,1,1,0,18,acept,not furnished,2300
Campinas,660,5,7,4,17,acept,not furnished,10000
Campinas,620,5,6,4,17,acept,not furnished,4860
Sao Paulo,332,5,4,3,17,acept,not furnished,15000
Sao Paulo,720,4,5,5,17,acept,not furnished,6500
Belo Horizonte,548,4,7,6,17,acept,not furnished,15000
Sao Paulo,370,4,5,6,17,acept,not furnished,14000
Sao Paulo,370,4,5,5,17,acept,furnished,5000
Sao Paulo,350,4,5,5,17,acept,furnished,15000
Sao Paulo,322,4,5,5,17,acept,furnished,15000
Sao Paulo,300,4,6,6,17,acept,not furnished,15000
Belo Horizonte,300,4,4,4,17,acept,furnished,7500
Sao Paulo,285,4,4,4,17,acept,not furnished,15000
Sao Paulo,280,4,4,3,17,acept,furnished,6553
Sao Paulo,270,4,4,0,17,not acept,furnished,14000
Sao Paulo,262,4,5,4,17,acept,not furnished,2250
Sao Paulo,250,4,5,2,17,acept,furnished,12000
Sao Paulo,250,4,4,2,17,acept,furnished,6000
Sao Paulo,236,4,4,0,17,acept,furnished,3500
Sao Paulo,230,4,3,4,17,not acept,furnished,6000
Sao Paulo,221,4,4,4,17,not acept,not furnished,12830
Sao Paulo,216,4,3,0,17,acept,furnished,8000
Sao Paulo,213,4,4,3,17,acept,not furnished,6500
Sao Paulo,212,4,3,2,17,acept,not furnished,13800
Sao Paulo,190,4,4,3,17,acept,not furnished,6000
Rio de Janeiro,190,4,3,2,17,acept,furnished,9300
Sao Paulo,360,3,5,6,17,acept,not furnished,3000
Sao Paulo,351,3,4,2,17,not acept,furnished,9500
Sao Paulo,277,3,4,2,17,acept,not furnished,7650
Sao Paulo,240,3,2,2,17,not acept,not furnished,9800
Sao Paulo,234,3,5,3,17,not acept,furnished,14000
Belo Horizonte,230,3,4,4,17,acept,furnished,15000
Sao Paulo,218,3,3,3,17,not acept,not furnished,4000
Sao Paulo,217,3,4,4,17,acept,furnished,14500
Sao Paulo,210,3,3,3,17,acept,not furnished,7000
Sao Paulo,199,3,4,5,17,acept,furnished,4000
Sao Paulo,161,3,3,3,17,acept,not furnished,10000
Sao Paulo,156,3,2,1,17,acept,not furnished,5500
Sao Paulo,154,3,1,3,17,acept,furnished,6700
Sao Paulo,153,3,4,3,17,acept,furnished,6300
Sao Paulo,138,3,3,2,17,acept,not furnished,7070
Sao Paulo,127,3,3,2,17,not acept,furnished,7000
Sao Paulo,122,3,2,1,17,acept,not furnished,3860
Sao Paulo,120,3,2,1,17,acept,not furnished,2000
Sao Paulo,118,3,3,2,17,acept,furnished,3890
Sao Paulo,110,3,3,3,17,acept,furnished,4500
Porto Alegre,108,3,2,2,17,not acept,not furnished,3100
Sao Paulo,96,3,2,2,17,acept,not furnished,3200
Sao Paulo,94,3,2,2,17,acept,not furnished,2173
Belo Horizonte,93,3,2,0,17,acept,not furnished,1750
Campinas,92,3,2,3,17,acept,not furnished,3700
Rio de Janeiro,90,3,2,1,17,acept,not furnished,980
Sao Paulo,87,3,2,2,17,acept,not furnished,2350
Sao Paulo,87,3,2,1,17,acept,not furnished,1400
Rio de Janeiro,85,3,2,1,17,acept,not furnished,4170
Sao Paulo,84,3,1,1,17,acept,not furnished,2300
Campinas,80,3,2,2,17,acept,not furnished,2500
Campinas,74,3,2,1,17,acept,not furnished,1040
Campinas,73,3,2,2,17,acept,not furnished,2400
Campinas,73,3,2,2,17,acept,not furnished,2400
Sao Paulo,418,2,4,3,17,not acept,not furnished,6875
Sao Paulo,270,2,2,3,17,acept,not furnished,8650
Sao Paulo,230,2,3,3,17,acept,furnished,8000
Sao Paulo,130,2,2,1,17,acept,not furnished,5600
Sao Paulo,103,2,3,2,17,acept,furnished,9000
Sao Paulo,92,2,2,2,17,acept,furnished,2288
Sao Paulo,90,2,2,2,17,acept,furnished,12200
Sao Paulo,85,2,2,0,17,acept,furnished,6000
Rio de Janeiro,80,2,1,1,17,acept,not furnished,1820
Sao Paulo,74,2,2,2,17,acept,not furnished,5000
Sao Paulo,63,2,2,1,17,acept,not furnished,1690
Sao Paulo,61,2,2,1,17,acept,not furnished,4200
Sao Paulo,60,2,2,1,17,acept,not furnished,1250
Sao Paulo,55,2,2,1,17,not acept,not furnished,1680
Sao Paulo,52,2,1,1,17,acept,not furnished,1100
Sao Paulo,50,2,1,1,17,acept,not furnished,1000
Sao Paulo,49,2,1,1,17,not acept,furnished,2000
Sao Paulo,49,2,1,1,17,not acept,furnished,1625
Sao Paulo,45,2,1,1,17,acept,not furnished,1600
Sao Paulo,74,1,1,1,17,not acept,furnished,6290
Sao Paulo,67,1,2,2,17,acept,not furnished,2230
Sao Paulo,58,1,1,1,17,acept,not furnished,1600
Sao Paulo,57,1,2,0,17,acept,not furnished,1400
Sao Paulo,55,1,2,1,17,acept,not furnished,3800
Sao Paulo,55,1,2,0,17,not acept,not furnished,1800
Campinas,52,1,1,1,17,acept,furnished,1250
Sao Paulo,50,1,1,1,17,acept,furnished,4000
Sao Paulo,50,1,1,1,17,not acept,furnished,5000
Sao Paulo,50,1,1,1,17,not acept,furnished,3500
Campinas,45,1,1,1,17,acept,furnished,1950
Porto Alegre,43,1,1,1,17,not acept,furnished,2790
Sao Paulo,42,1,1,1,17,not acept,furnished,1900
Belo Horizonte,42,1,1,1,17,not acept,furnished,2690
Sao Paulo,41,1,1,0,17,acept,furnished,2470
Porto Alegre,36,1,1,1,17,acept,not furnished,1200
Sao Paulo,35,1,1,1,17,acept,furnished,4000
Sao Paulo,35,1,1,1,17,acept,not furnished,1950
Sao Paulo,717,5,5,8,16,acept,not furnished,2500
Sao Paulo,350,5,4,3,16,acept,not furnished,15000
Sao Paulo,430,4,6,2,16,acept,furnished,3378
Sao Paulo,395,4,4,3,16,acept,furnished,15000
Rio de Janeiro,344,4,3,2,16,acept,furnished,3612
Sao Paulo,340,4,5,5,16,acept,furnished,12000
Sao Paulo,319,4,6,5,16,not acept,not furnished,10050
Sao Paulo,285,4,4,3,16,not acept,not furnished,4500
Sao Paulo,278,4,5,2,16,acept,furnished,9000
Rio de Janeiro,270,4,2,1,16,not acept,not furnished,7500
Sao Paulo,253,4,5,3,16,acept,not furnished,4100
Sao Paulo,243,4,3,3,16,acept,not furnished,2000
Sao Paulo,215,4,4,2,16,not acept,furnished,6000
Sao Paulo,212,4,5,4,16,acept,not furnished,10000
Sao Paulo,200,4,5,4,16,acept,not furnished,10000
Sao Paulo,178,4,4,4,16,acept,not furnished,4500
Sao Paulo,162,4,5,3,16,acept,not furnished,3700
Campinas,160,4,2,2,16,acept,not furnished,2800
Sao Paulo,155,4,3,2,16,acept,not furnished,3500
Belo Horizonte,130,4,4,3,16,not acept,not furnished,5200
Sao Paulo,120,4,3,3,16,acept,not furnished,6160
Belo Horizonte,344,3,4,4,16,not acept,not furnished,15000
Sao Paulo,310,3,3,2,16,not acept,not furnished,15000
Sao Paulo,287,3,5,0,16,acept,not furnished,12000
Sao Paulo,270,3,3,3,16,acept,not furnished,13000
Sao Paulo,264,3,3,2,16,acept,furnished,5300
Belo Horizonte,251,3,3,4,16,not acept,not furnished,12000
Sao Paulo,250,3,4,4,16,acept,not furnished,10700
Sao Paulo,250,3,4,2,16,acept,not furnished,6000
Sao Paulo,230,3,4,0,16,acept,furnished,3000
Sao Paulo,220,3,4,3,16,acept,furnished,8000
Sao Paulo,216,3,3,3,16,acept,not furnished,13000
Sao Paulo,197,3,4,3,16,acept,furnished,6502
Sao Paulo,192,3,3,3,16,acept,furnished,6500
